,roles,companies,locations,experience,skills
0,Content Lead - Manager,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",7-11 Yrs,"['product management', 'business process', 'consulting', 'agile', 'marketing communication', 'communication', 'written', 'interpersonal skills']"
1,Architect,Capgemini,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",12-20 Yrs,"['architect', 'it skills', 'java', 'testing', 'mobile architect', 'angular', 'ux architect', 'cx architect']"
2,Microsoft Dynamics CRM Architect,Capgemini,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",13-20 Yrs,"['d365', 'ms dynamics crm', 'dynamic 365', 'microsoft dynamics', 'technical architecture', 'solution architecting', 'ms crm', 'ms crm dynamics']"
3,Salesforce Solution Architect,Capgemini,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",13-20 Yrs,"['solution architecting', 'visualforce', 'sfdc', 'salesforce crm', 'salesforce', 'it skills', 'cloud', 'oracle']"
4,Salesforce Technical Architect,Capgemini,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",13-20 Yrs,"['salesforce', 'oob salesforce', 'apex programming', 'salesforce lightning', 'soql', 'lightning', 'salesforce apis', 'javascript']"
5,Key Account Manager,Franchise Alpha,"['kolkata', ' mumbai', ' visakhapatnam', ' hyderabad/secunderabad', ' pune', ' chennai', ' ahmedabad', ' delhi / ncr', ' bangalore/bengaluru']",0-4 Yrs,"['key account management', 'sales', 'client relationships', 'b2b sales', 'real estate sales', 'bfsi sales']"
6,Pearson - Project Manager,Pearson,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' ahmedabad', ' delhi / ncr', ' bangalore/bengaluru']",4-8 Yrs,"['project management', 'production', 'microsoft office', 'organizational skills']"
7,Contract Specialist,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",4-9 Yrs,"['procurement', 'business process', 'team management', 'contract management', 'consulting', 'it skills', 'sharepoint', 'networking']"
8,Salesforce Technical Architect,Capgemini,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",13-20 Yrs,"['e2e architecture', 'technical architecture', 'salesforce', 'salesforce lightning', 'lightning', 'salesforce apis', 'javascript', 'communication']"
9,Reactjs developer,Mindtree,"['kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['redux', 'es6', 'react.js', 'javascript frameworks', 'cms', 'dom', 'object model', 'contentful']"
10,Immediate Hiring For Service Now Developer with top MNC Mindtree,Mindtree,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['itsm', 'it skills', 'cloud', 'html', 'css', 'javascript', 'snow', 'itam']"
11,Azure DevOps scripter || Open location || Immediate Role,Tech Mahindra,"['hybrid - kolkata', ' mumbai', ' chandigarh', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr']",5-10 Yrs,"['agile', 'certification', 'azure cloud', 'git', 'powershell', 'azure scripting', 'azure devops', 'azure']"
12,Urgent requirement For Azure/AWS Devops Lead,Mindtree,"['noida', ' kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' india']",5-10 Yrs,"['terraform', 'docker', 'ansible', 'devops', 'kubernetes', 'jenkins', 'aws']"
13,VBCS-Full Stack-UI and Integration-Oracle PaaS,Oracle,"['noida', ' kolkata', ' gandhinagar', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",8-13 Yrs,"['vbcs', 'soa', 'java', 'osb', 'oracle erp', 'j2ee', 'odi', 'bpm']"
14,Opening with Tech Mahindra For Inside Sales Executive,Tech Mahindra,"['hybrid - hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",1-4 Yrs,"['inside sales', 'cold calling', 'sales', 'written', 'verbal communication', 'lead generation', 'online lead generation', 'email marketing']"
15,Global Client Group- Senior Relationship Manager,Icici Bank,"['hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",10-16 Yrs,"['client banker', 'credit analysis', 'balance sheet', 'credit appraisal']"
16,HCL Technologies Hiring For Java Architecture Role,HCLTech,"['hybrid - noida', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",10-20 Yrs,"['java architecture', 'soluation architecture', 'microservices', 'angular', 'kubernetes', 'docker', 'java', 'it skills']"
17,HCL Technologies hiring For Java Full Stack Developer Role,HCLTech,"['hybrid - noida', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",5-10 Yrs,"['springboot java', 'java', 'team leading', 'java full stack', 'angular', 'it skills', 'backend', 'front end']"
18,Test Automation Developer,Tech Mahindra,"['temp. wfh - hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",4-9 Yrs,"['my world', 'test automation developer', 'linux', 'gcp', 'python', 'tomcat', 'test automation', 'unix shell script']"
19,Data Scientist,Tata Nexarc,"['new delhi', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",4-8 Yrs,"['data mining', 'machine learning', 'sql', 'python', 'hadoop', 'tableau']"
20,Content Lead - Manager,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",7-11 Yrs,"['product management', 'business process', 'consulting', 'agile', 'marketing communication', 'communication', 'written', 'interpersonal skills']"
21,Architect,Capgemini,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",12-20 Yrs,"['architect', 'it skills', 'java', 'testing', 'mobile architect', 'angular', 'ux architect', 'cx architect']"
22,Microsoft Dynamics CRM Architect,Capgemini,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",13-20 Yrs,"['d365', 'ms dynamics crm', 'dynamic 365', 'microsoft dynamics', 'technical architecture', 'solution architecting', 'ms crm', 'ms crm dynamics']"
23,Salesforce Solution Architect,Capgemini,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",13-20 Yrs,"['solution architecting', 'visualforce', 'sfdc', 'salesforce crm', 'salesforce', 'it skills', 'cloud', 'oracle']"
24,Salesforce Technical Architect,Capgemini,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",13-20 Yrs,"['salesforce', 'oob salesforce', 'apex programming', 'salesforce lightning', 'soql', 'lightning', 'salesforce apis', 'javascript']"
25,Key Account Manager,Franchise Alpha,"['kolkata', ' mumbai', ' visakhapatnam', ' hyderabad/secunderabad', ' pune', ' chennai', ' ahmedabad', ' delhi / ncr', ' bangalore/bengaluru']",0-4 Yrs,"['key account management', 'sales', 'client relationships', 'b2b sales', 'real estate sales', 'bfsi sales']"
26,Pearson - Project Manager,Pearson,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' ahmedabad', ' delhi / ncr', ' bangalore/bengaluru']",4-8 Yrs,"['project management', 'production', 'microsoft office', 'organizational skills']"
27,Contract Specialist,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",4-9 Yrs,"['procurement', 'business process', 'team management', 'contract management', 'consulting', 'it skills', 'sharepoint', 'networking']"
28,Salesforce Technical Architect,Capgemini,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",13-20 Yrs,"['e2e architecture', 'technical architecture', 'salesforce', 'salesforce lightning', 'lightning', 'salesforce apis', 'javascript', 'communication']"
